idauthor,author,EID,titulo documento,sourcetitle,Year,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Document Type,Source,Language of Original Document,Open Access,DOI,url;;;;;;;;;;;;;;;;;
"56022750000;55718709600;36664072900;55844978300;57220958082;,QiF.;LiW.;YuP.;FengL.;ZhouF.,2-s2.0-85102190218,Deep learning-based BackCom multiple beamforming for 6G UAV IoT networks,Eurasip Journal on Wireless Communications and Networking,2021,2021,1,50,,,,,Article,Scopus,English,All Open Access; Gold; Green,10.1186/s13638-021-01932-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102190218&doi=10.1186%2fs13638-021-01932-4&partnerID=40&md5=af8f8717c911c225cb812c61d831812a";;;;;;;;;;;;;;;;;
"6603575517;57222022515;57222021510;57220194011;,HodgkinsM.;BarronM.;JevajiS.;LloydS.,2-s2.0-85100955302,Physician requirements for adoption of telehealth following the SARS-CoV-2 pandemic,npj Digital Medicine,2021,4,1,19,,,,,Review,Scopus,English,All Open Access; Gold; Green,10.1038/s41746-021-00390-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100955302&doi=10.1038%2fs41746-021-00390-y&partnerID=40&md5=34931e78881124e04001645ea91e0743";;;;;;;;;;;;;;;;;
"22036014300;55900596900;57192271640;57222373522;6504689892;,SmuckM.;OdonkorC.A.;WiltJ.K.;SchmidtN.;SwiernikM.A.,2-s2.0-85102501558,The emerging clinical role of wearables: factors for successful implementation in healthcare,npj Digital Medicine,2021,4,1,45,,,,1,Review,Scopus,English,All Open Access; Gold; Green,10.1038/s41746-021-00418-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102501558&doi=10.1038%2fs41746-021-00418-3&partnerID=40&md5=bbc7158fab0cec02ba629165a56b692f";;;;;;;;;;;;;;;;;
"57215204356;57208247547;57215194773;57199653242;36987833300;24466830800;35189168900;,WangZ.;ZhangH.;RenJ.;LinX.;HanT.;LiuJ.;LiJ.,2-s2.0-85100122120,Predicting adsorption ability of adsorbents at arbitrary sites for pollutants using deep transfer learning,npj Computational Materials,2021,7,1,19,,,,,Article,Scopus,English,All Open Access; Gold,10.1038/s41524-021-00494-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100122120&doi=10.1038%2fs41524-021-00494-9&partnerID=40&md5=9a12f48140f15e718562dc75b1af957f";;;;;;;;;;;;;;;;;
"42062507900;11439396200;57008337500;,ZengX.;AliS.H.;LiJ.,2-s2.0-85099594243,Estimation of waste outflows for multiple product types in China from 2010?2050,Scientific Data,2021,8,1,15,,,,,Data Paper,Scopus,English,All Open Access; Gold; Green,10.1038/s41597-021-00796-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099594243&doi=10.1038%2fs41597-021-00796-z&partnerID=40&md5=df5136d94d5863b0d949b753d2daa381";;;;;;;;;;;;;;;;;
"56495372200;57193408394;57216314604;57202308862;57222007364;7004960599;7006211475;,VillanustreF.;ChalaA.;DevR.;XuL.;LexisNexisJ.S.;FurhtB.;KhoshgoftaarT.,2-s2.0-85100951150,Modeling and tracking Covid-19 cases using Big Data analytics on HPCC system platformm,Journal of Big Data,2021,8,1,33,,,,,Article,Scopus,English,All Open Access; Gold; Green,10.1186/s40537-021-00423-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100951150&doi=10.1186%2fs40537-021-00423-z&partnerID=40&md5=503e49b938b91ab20f31e0f2dcf0149d";;;;;;;;;;;;;;;;;
"57221396392;57221398922;24073942000;,SchrevelS.;SlagerM.;VlugtE.D.,2-s2.0-85099061134,I stood by andwatched: An autoethnography of stakeholder participation in a living lab,Technology Innovation Management Review,2021,10,11,,19,30,,1,Article,Scopus,English,All Open Access; Gold; Green,10.22215/TIMREVIEW/1400,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099061134&doi=10.22215%2fTIMREVIEW%2f1400&partnerID=40&md5=3e0a528e2773dfe97a329078a30b9c89";;;;;;;;;;;;;;;;;
"57201297838;57222538882;55245820100;57221365186;,ShenY.;ZhangW.;ZhuL.;ZhangY.,2-s2.0-85103099146,An image-based algorithm for generating smooth and interference-free five-axis sweep scanning path,Robotics and Computer-Integrated Manufacturing,2021,71,,102159,,,,,Article,Scopus,English,,10.1016/j.rcim.2021.102159,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103099146&doi=10.1016%2fj.rcim.2021.102159&partnerID=40&md5=8eeef0a74057b46428424b5b7b23cbdb";;;;;;;;;;;;;;;;;
"57192803371;57203209139;57223843702;,ChuahS.H.-W.;AwE.C.-X.;YeeD.,2-s2.0-85106227223,Unveiling the complexity of consumers? intention to use service robots: An fsQCA approach,Computers in Human Behavior,2021,123,,106870,,,,,Article,Scopus,English,,10.1016/j.chb.2021.106870,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106227223&doi=10.1016%2fj.chb.2021.106870&partnerID=40&md5=4eef50e5ff90b9f8c74605ba0c458706";;;;;;;;;;;;;;;;;
